,Australia,Austria,Bahrain,Belgium,Brazil,China,France,Germany,Hungary,Italy,Malaysia,Mexico,Monaco,Netherlands,Portugal,Russia,Singapore,Spain,UK,USA
3,505.63114324284834,508.4317055617576,209.9920134412532,404.410902150179,302.0004155591014,483.64674090317567,684.8769940182101,575.0550298290618,108.7617675011279,598.0496290941956,391.82838009964325,771.3999981162196,560.4421036561253,444.4289029158245,385.4270983506576,270.19405794117483,383.6167403114087,630.666154284263,733.486716060579,197.17945357432475
4,513.8327844274172,465.8231829357392,491.6483432597888,174.76497105581802,173.17465110940975,587.6675453414209,538.4477082962403,390.8181810294045,636.467312592722,632.6565491097572,298.40969558799407,424.6449452941306,508.4317045514472,483.83678277628496,348.8197780693299,484.23686637353967,373.01462092844304,258.7917748314503,702.4805170130858,272.9946159449464
5,683.2666738467815,479.2258624342212,425.83518008413375,136.15724966971902,418.22366058648913,478.8457830984844,489.43790317472303,367.41349978916696,710.082035361469,544.2388658031705,311.61233822078793,683.8967964686162,408.211661134148,471.0342241858016,377.82557875683415,521.444306532765,383.2166594996816,442.82858143470366,595.8591921227344,-192.2984425298928
6,518.4337062023405,502.4305064225919,537.0574211790808,402.410502259183,276.99541670875624,468.6437419264694,645.6691528968222,445.2290636432299,499.8399879266508,483.62674387716106,399.42989948162,795.1000011168362,374.6049401362543,237.3874934047344,379.6259410296334,490.2380652827269,391.6183416363492,587.4575092332962,341.6083412893058,-194.49888263220785
7,739.8779930854798,199.769972187758,523.8547833896882,528.8357874971989,515.6431445804483,479.2458624042047,489.6379469757085,525.0450274350296,403.42070340240025,624.2548696107988,408.0316211071622,685.4971163880837,615.2530662230856,426.62533969280776,136.77736999985063,271.79437707015313,455.6311432599905,367.61354202005896,317.2034591284755,-193.4986825789092
8,641.6583489134791,534.036828438926,299.2098569626105,519.4339064664964,474.6349422933709,317.4134979408991,610.2620703786379,593.4587104111561,581.0562293842086,499.82998375667376,351.6203410589951,758.6000000893837,495.2290642820008,373.61474071562407,410.4321004656085,692.4785149176605,458.83178418598254,575.4551087314612,269.39389524483704,329.00582097444567
9,501.03022421943024,497.2294662689092,516.253262603248,408.61174093259615,413.0226215811854,317.8135785407794,664.0728333626757,462.6325413651357,687.4775165637257,572.844587702537,518.0536219700589,487.4575084859971,485.6271450422646,421.2242617100128,170.78417172527406,358.41170120285824,336.0072199483402,174.97501255420502,461.032224431372,-194.2988426144002
0,439.21786123586935,439.2178639518388,514.8529802247649,379.20585843222216,404.620936312509,147.97960890157265,667.0734340163472,489.2378602350364,655.2710751498234,426.6153413958673,237.1974564154516,784.5000015218975,446.8193843170884,421.4243024147872,528.855780266691,585.6571529748326,174.97501138987718,445.2290598292602,372.0144205207471,354.010820743395
1,627.655551688862,447.0194234130031,498.2496587447531,433.0166206794384,379.41589722505887,355.62114188590203,622.6645548623928,481.0362235260254,564.0528266673209,437.21746279048966,381.8263815297978,746.7999974580889,362.20245825962047,433.2266574178939,422.83458169418736,615.4631114939693,484.036821396614,461.432300976885,575.4551107269654,152.77057243857416
2,463.6227416895272,453.42070248920936,517.0534204067953,347.7995765762462,313.002617017366,466.64334243384656,389.2178608975664,497.6395436696184,620.2640708361869,459.62194331063074,326.6153435271408,669.2938761676196,359.2018600369338,398.81977852230193,426.6353425780544,461.6323444284208,466.8333828369505,489.6379436807765,597.8595904203539,673.6747541506775
3,478.2256631774071,493.02862474296126,478.4457009618054,371.0042190787208,404.02082027416327,337.4175027379533,485.6371470505837,614.8629897276405,647.86959367292,515.0330248067621,282.6065383741516,750.1999988493335,396.60934026236646,475.4351012331608,371.2242574010743,550.6501487455971,285.1970561821945,382.8165794638044,632.2664730779652,591.0582306658034
4,417.6135413870216,467.4235045778041,464.2428614424716,397.6095394238364,306.00121776232845,403.4307003802678,603.4607105612522,450.2300617520814,573.8547875292425,450.0200191192271,176.98541035648668,739.0999950289261,363.20266024168814,448.62974090347416,516.0532188377983,671.4743155941251,409.6219427945034,516.8433839032659,574.8549878254416,-190.69812253143755
5,535.6371478743677,426.2152618773107,304.4108919920691,420.4141024852288,368.2136584472901,429.2358623489272,539.4479065820342,498.8397847431188,550.6501466457848,488.6277464051964,381.226264805533,736.8000003866327,569.6439457289816,520.6441443689109,597.4695029181603,549.2498701261648,440.8281803495775,385.417097509373,170.1740514918929,449.4299052846327
6,603.450711405254,469.8239857814915,345.81917703864747,403.81078069953946,177.57553023344371,421.6343417993921,611.4623127032537,394.0188180404075,694.478914274514,468.0236234510666,405.4311013345141,693.6987560020934,508.83178451209096,197.17945326963672,410.0320237541455,540.0480268269312,338.20765663604834,496.23926794028375,576.8553869078169,354.2108612129814
7,529.4359071751242,570.4441097761155,478.4456998119131,478.0256254893902,376.41530028381385,162.38249175495002,576.4553084775689,482.4365015605581,600.8601917201886,437.0174216476444,343.8187834202545,764.4999960596324,599.4499099040986,335.80717681441456,504.2508611003286,288.597737771488,41.94840649040998,450.6301413245092,571.6543519310362,519.2438659731997
8,345.1990592300426,351.4002963999519,474.84498196464847,441.618343628681,242.98861252490315,441.6383397792233,554.2508680641185,507.04142488038633,637.4675115458376,488.82778542587766,382.82658299725153,745.7999987266667,502.630544238782,344.2088543556456,437.8375801103248,52.55052703988622,395.6191400641692,436.42729784021503,509.4419083284156,678.0756327410345
9,486.22726591076935,450.62014367379015,511.6523410255322,363.40269594910205,182.5765320591454,433.63674239313696,537.4475079838885,561.0522256384138,477.23546647420153,542.0384299891593,336.01721865829313,677.8955985493667,477.82558214486926,136.16724934251397,341.2182587858697,644.4689138928661,475.8351832237968,454.6309424486535,658.0716343253735,243.5887381041539
